fileName,variableName,variableLabel,variableValue,missingValue,notApplicableValue
fair4rsStudiesReview.csv,step,Step from the FAIR-BioRS guidelines,Any step from the FAIR-BioRS guidelines v1.0.0,,
fair4rsStudiesReview.csv,principleNumber,Number of the FAIR4RS principle as per https://doi.org/10.15497/RDA00065,Alpha numeric value as per https://doi.org/10.15497/RDA00065,,
fair4rsStudiesReview.csv,principleTitle,Title of the FAIR4RS principles as per https://doi.org/10.15497/RDA00065,Title text as per https://doi.org/10.15497/RDA00065,,
fair4rsStudiesReview.csv,interpretationFAIR4RS,Actionable interpretration of the principle as per https://doi.org/10.15497/RDA00065,Text based on https://doi.org/10.15497/RDA00065,,
fair4rsStudiesReview.csv,additionalResourcesFAIR4RS,Addional resources related to a principle provided in https://doi.org/10.15497/RDA00065,Text based on https://doi.org/10.15497/RDA00065,None,NA
fair4rsStudiesReview.csv,interpretationKatz2021,Actionable interpretration of the principle as per https://doi.org/10.1016/j.patter.2021.100222 and https://arxiv.org/abs/2101.10883v4,Text based on https://doi.org/10.1016/j.patter.2021.100222 and https://arxiv.org/abs/2101.10883v4 ,None,NA
fair4rsStudiesReview.csv,additionalResourcesKatz2021,Addional resources related to a principle provided in https://doi.org/10.1016/j.patter.2021.100222 and https://arxiv.org/abs/2101.10883v4 ,Text based on https://doi.org/10.1016/j.patter.2021.100222 and https://arxiv.org/abs/2101.10883v4 ,None,NA
fair4rsStudiesReview.csv,interpretationLamprecht2020,Actionable interpretration of the principle as per https://doi.org/10.3233/DS-190026   ,Text based on https://doi.org/10.3233/DS-190026   ,None,NA
fair4rsStudiesReview.csv,additionalResourcesLamprecht2020,Addional resources related to a principle provided in https://doi.org/10.3233/DS-190026   ,Text based on https://doi.org/10.3233/DS-190026   ,None,NA
fair4rsStudiesReview.csv,interpretationOverall,Overvall interpretation we have derived combining information from all three resources listed above,Free text based on above values,None,NA
searchStrategy.csv,reviewCategory,Category number of the review group,1 to 5,,
searchStrategy.csv,categoryDescription,Category description of the review group,Category defined by our review search approach,,
searchStrategy.csv,searchDate,Date ressources of the category were last collected,MM/DD/YYYY,,
searchStrategy.csv,searchLogic,Logic used for the search,Text with boolean logic,,
searchStrategy.csv,numberOfResults,Number of ressources found in that category,Numerical,,
searchStrategy.csv,afterDuplicatesremoved,Number of ressources after duplicates with previous categories removed,Numerical,,
searchStrategy.csv,screened,Number of ressources screened (title and abstract read),Numerical,,
searchStrategy.csv,excluded,Number of ressources excluded after screening,Numerical,,
